streamer,href,media visualizaciones,horas stream,maximo historico,aumento followers,total followers
Jynxzi,/jynxzi,97831,111,202569,708467,4872910
ibai,/ibai,78200,117.6,3442745,67288,15483385
KaiCenat,/kaicenat,60974,110.5,348593,304962,9188458
auronplay,/auronplay,67954,83.6,602038,76889,16159377
caseoh_,/caseoh_,62387,97.3,110574,646878,3084552
Gaules,/gaules,14340,714.2,707648,14920,4065385
RevedTV,/revedtv,94462,6.4,124351,25123,1090301
Nix,/nix,45016,113.5,246261,32289,762394
Rainbow6,/rainbow6,43198,117.3,191703,104880,2760425
Papaplatte,/papaplatte,31299,198.6,120011,82516,2210769
fps_shaka,/fps_shaka,22745,313.6,125341,15089,1372810
tarik,/tarik,34787,166.5,215660,41449,2994028
加藤純一です,/kato_junichi0817,28966,210.6,241593,18960,895844
Baiano,/baiano,10041,718.1,154553,13404,969464
BALLERLEAGUE,/ballerleague,56735,31.8,96956,64810,186878
dota2_paragon_ru,/dota2_paragon_ru,37472,102.7,263498,26950,261860
Caedrel,/caedrel,22269,240.5,185921,29190,687197
Kamet0,/kamet0,27590,167.5,419458,23593,1846685
eliasn97,/eliasn97,22575,225.2,189931,22642,1796956
xQc,/xqc,39040,78.5,278176,1273,11981423
PGL,/pgl,27942,141.5,649414,88447,1591065
mistermv,/mistermv,30671,118,80340,11315,876902
ohnePixel,/ohnepixel,27504,141.8,236159,45165,1125256
summit1g,/summit1g,15563,334.5,310998,7241,6250897
IlloJuan,/illojuan,41283,53.8,205005,31765,4003953
imantado,/imantado,19082,240.7,40608,100852,823295
kingsleagueamericas,/kingsleagueamericas,50683,20.8,77408,163040,351034
Lord_Kebun,/lord_kebun,19945,217,41472,26415,625952
kingsleague,/kingsleague,37263,63.1,1098636,16183,3053977
HasanAbi,/hasanabi,18920,231.6,226974,-440,2562142
VALORANT_Americas,/valorant_americas,35211,70.1,69211,121664,686442
らっだぁ,/raderaderader,23712,151.2,69696,14846,650917
EsfandTV,/esfandtv,11695,417.7,61987,22502,1340307
VALORANT_jpn,/valorant_jpn,25604,118.8,113833,30360,527791
MontanaBlack88,/montanablack88,31203,77.2,202216,30077,5287252
Squeezie,/squeezie,38441,40.9,1340960,41661,4941413
loltyler1,/loltyler1,17457,217.3,368484,6251,5299601
LEC,/lec,28863,85.1,400312,12807,2036848
JonVlogs,/jonvlogs,23301,126,152201,84181,1909965
zackrawrr,/zackrawrr,19873,165.3,204144,33545,1725516
LIRIK,/lirik,18884,173.3,89170,5859,2962617
GRONKH,/gronkh,19013,171.1,115784,9325,1652633
TheGrefg,/thegrefg,27322,85.1,2470347,54804,11881304
LCK,/lck,25776,93.5,307586,22941,1832880
