streamer,href,media visualizaciones,horas stream,maximo historico,aumento followers,total followers,contenido principal,idioma,fecha creacion canal,subs actuales,maximo subs
Jynxzi,/jynxzi,97831,111.0,202569,708467,4872910,Tom Clancy's Rainbow Six Siege,English,2019-01-22,167453.0,179543.0
ibai,/ibai,78200,117.6,3442745,67288,15483385,Just Chatting,Spanish,2015-02-20,40880.0,136115.0
KaiCenat,/kaicenat,60974,110.5,348593,304962,9188458,Just Chatting,English,2021-01-27,82730.0,306621.0
auronplay,/auronplay,67954,83.6,602038,76889,16159377,Minecraft,Spanish,2019-09-03,24715.0,50796.0
caseoh_,/caseoh_,62387,97.3,110574,646878,3084552,NBA 2K23,English,2018-10-15,57841.0,58214.0
Gaules,/gaules,14340,714.2,707648,14920,4065385,Counter-Strike,Portuguese,2017-11-09,49031.0,102857.0
RevedTV,/revedtv,94462,6.4,124351,25123,1090301,Just Chatting,German,2015-07-24,4196.0,15639.0
Nix,/nix,45016,113.5,246261,32289,762394,Dota 2,Russian,2014-07-30,216.0,1231.0
Rainbow6,/rainbow6,43198,117.3,191703,104880,2760425,Tom Clancy's Rainbow Six Siege,English,2014-06-27,,
Papaplatte,/papaplatte,31299,198.6,120011,82516,2210769,Just Chatting,German,2013-11-02,34109.0,35166.0
fps_shaka,/fps_shaka,22745,313.6,125341,15089,1372810,PUBG: BATTLEGROUNDS,Japanese,2013-09-19,16230.0,16452.0
tarik,/tarik,34787,166.5,215660,41449,2994028,VALORANT,English,2012-09-21,18110.0,27672.0
加藤純一です,/kato_junichi0817,28966,210.6,241593,18960,895844,Apex Legends,Japanese,2020-06-18,5038.0,47830.0
Baiano,/baiano,10041,718.1,154553,13404,969464,League of Legends,Portuguese,2016-11-30,21128.0,28707.0
BALLERLEAGUE,/ballerleague,56735,31.8,96956,64810,186878,Sports,German,2020-05-07,,
dota2_paragon_ru,/dota2_paragon_ru,37472,102.7,263498,26950,261860,Dota 2,Russian,2022-11-25,,
Caedrel,/caedrel,22269,240.5,185921,29190,687197,League of Legends,English,2015-05-27,9876.0,25610.0
Kamet0,/kamet0,27590,167.5,419458,23593,1846685,League of Legends,French,2011-12-30,24282.0,34375.0
eliasn97,/eliasn97,22575,225.2,189931,22642,1796956,Just Chatting,German,2018-07-15,31854.0,85475.0
xQc,/xqc,39040,78.5,278176,1273,11981423,Overwatch,English,2014-09-12,32258.0,102288.0
PGL,/pgl,27942,141.5,649414,88447,1591065,Counter-Strike,English,2011-04-12,,
mistermv,/mistermv,30671,118.0,80340,11315,876902,Teamfight Tactics,French,2012-02-27,3716.0,13578.0
ohnePixel,/ohnepixel,27504,141.8,236159,45165,1125256,Counter-Strike,English,2013-05-18,19547.0,52910.0
summit1g,/summit1g,15563,334.5,310998,7241,6250897,Grand Theft Auto V,English,2011-12-01,23585.0,94941.0
IlloJuan,/illojuan,41283,53.8,205005,31765,4003953,Just Chatting,Spanish,2015-05-02,18925.0,47496.0
imantado,/imantado,19082,240.7,40608,100852,823295,Just Chatting,Spanish,2019-12-04,11085.0,11479
kingsleagueamericas,/kingsleagueamericas,50683,20.8,77408,163040,351034,Sports,Spanish,2023-06-22,,
Lord_Kebun,/lord_kebun,19945,217.0,41472,26415,625952,Grand Theft Auto V,English,2017-07-10,12679.0,20109.0
kingsleague,/kingsleague,37263,63.1,1098636,16183,3053977,Sports,Spanish,2016-04-12,,
HasanAbi,/hasanabi,18920,231.6,226974,-440,2562142,Just Chatting,English,2018-03-23,48671.0,82721.0
VALORANT_Americas,/valorant_americas,35211,70.1,69211,121664,686442,VALORANT,English,2020-10-23,,
らっだぁ,/raderaderader,23712,151.2,69696,14846,650917,Grand Theft Auto V,Japanese,2016-03-23,3428.0,8515.0
EsfandTV,/esfandtv,11695,417.7,61987,22502,1340307,World of Warcraft,English,2012-12-25,8020.0,26154.0
VALORANT_jpn,/valorant_jpn,25604,118.8,113833,30360,527791,VALORANT,Japanese,2020-06-15,,
MontanaBlack88,/montanablack88,31203,77.2,202216,30077,5287252,Just Chatting,German,2013-06-21,13290.0,44177.0
Squeezie,/squeezie,38441,40.9,1340960,41661,4941413,Just Chatting,French,2013-11-24,8570.0,40802.0
loltyler1,/loltyler1,17457,217.3,368484,6251,5299601,League of Legends,English,2013-11-14,8721.0,36666.0
LEC,/lec,28863,85.1,400312,12807,2036848,League of Legends,English,2016-05-16,,
JonVlogs,/jonvlogs,23301,126.0,152201,84181,1909965,Grand Theft Auto V,Portuguese,2015-10-09,,
zackrawrr,/zackrawrr,19873,165.3,204144,33545,1725516,World of Warcraft,English,2020-07-07,,
LIRIK,/lirik,18884,173.3,89170,5859,2962617,Just Chatting,English,2011-06-27,10446.0,26668.0
GRONKH,/gronkh,19013,171.1,115784,9325,1652633,Just Chatting,German,2010-05-31,15366.0,33132.0
TheGrefg,/thegrefg,27322,85.1,2470347,54804,11881304,Just Chatting,Spanish,2013-09-12,7251.0,88585.0
